"COUNTRY","Country","VARIABLE","Variable","YEAR","Year","Unit Code","Unit","PowerCode Code","PowerCode","Reference Period Code","Reference Period","Value","Flag Codes","Flags"
"SVN","Slovenia","T-ACCI-CAS","Road casualties (injured + killed)","2012","2012","PER","Persons","0","Units",,,9278,,
"SVN","Slovenia","T-ACCI-CAS","Road casualties (injured + killed)","2013","2013","PER","Persons","0","Units",,,8867,,
"SVN","Slovenia","T-ACCI-CAS","Road casualties (injured + killed)","2014","2014","PER","Persons","0","Units",,,8328,,
"SVN","Slovenia","T-ACCI-CAS","Road casualties (injured + killed)","2015","2015","PER","Persons","0","Units",,,8830,,
"SVN","Slovenia","T-ACCI-CAS","Road casualties (injured + killed)","2016","2016","PER","Persons","0","Units",,,8586,,
"SVN","Slovenia","T-ACCI-CAS","Road casualties (injured + killed)","2017","2017","PER","Persons","0","Units",,,8005,,
"SVN","Slovenia","T-ACCI-CAS","Road casualties (injured + killed)","2018","2018","PER","Persons","0","Units",,,7779,,
"SVN","Slovenia","T-ACCI-CAS","Road casualties (injured + killed)","2019","2019","PER","Persons","0","Units",,,7672,,
"SVN","Slovenia","T-ACCI-CAS","Road casualties (injured + killed)","2020","2020","PER","Persons","0","Units",,,5775,,
"SVN","Slovenia","T-ACCI-CAS","Road casualties (injured + killed)","2021","2021","PER","Persons","0","Units",,,6552,,
"ALB","Albania","T-ACCI-INJ","Road injured","2000","2000","PER","Persons","0","Units",,,340,,
"ALB","Albania","T-ACCI-INJ","Road injured","2001","2001","PER","Persons","0","Units",,,250,,
"ALB","Albania","T-ACCI-INJ","Road injured","2002","2002","PER","Persons","0","Units",,,228,,
"ALB","Albania","T-ACCI-INJ","Road injured","2003","2003","PER","Persons","0","Units",,,250,,
"ALB","Albania","T-ACCI-INJ","Road injured","2004","2004","PER","Persons","0","Units",,,795,,
"ALB","Albania","T-ACCI-INJ","Road injured","2005","2005","PER","Persons","0","Units",,,872,,
"ALB","Albania","T-ACCI-INJ","Road injured","2006","2006","PER","Persons","0","Units",,,1065,,
"ALB","Albania","T-ACCI-INJ","Road injured","2007","2007","PER","Persons","0","Units",,,1344,,
"ALB","Albania","T-ACCI-INJ","Road injured","2008","2008","PER","Persons","0","Units",,,1251,,
"ALB","Albania","T-ACCI-INJ","Road injured","2009","2009","PER","Persons","0","Units",,,1455,,
"ALB","Albania","T-ACCI-INJ","Road injured","2010","2010","PER","Persons","0","Units",,,1716,,
"ALB","Albania","T-ACCI-INJ","Road injured","2011","2011","PER","Persons","0","Units",,,2150,,
"ALB","Albania","T-ACCI-INJ","Road injured","2012","2012","PER","Persons","0","Units",,,2235,,
"ALB","Albania","T-ACCI-INJ","Road injured","2013","2013","PER","Persons","0","Units",,,2503,,
"ALB","Albania","T-ACCI-INJ","Road injured","2014","2014","PER","Persons","0","Units",,,2353,,
"ALB","Albania","T-ACCI-INJ","Road injured","2015","2015","PER","Persons","0","Units",,,2422,,
"ALB","Albania","T-ACCI-INJ","Road injured","2016","2016","PER","Persons","0","Units",,,2510,,
"ALB","Albania","T-ACCI-INJ","Road injured","2017","2017","PER","Persons","0","Units",,,2389,,
"ALB","Albania","T-ACCI-INJ","Road injured","2018","2018","PER","Persons","0","Units",,,2078,,
"ALB","Albania","T-ACCI-INJ","Road injured","2019","2019","PER","Persons","0","Units",,,1817,,
"ALB","Albania","T-ACCI-INJ","Road injured","2020","2020","PER","Persons","0","Units",,,1417,,
"ALB","Albania","T-ACCI-INJ","Road injured","2021","2021","PER","Persons","0","Units",,,1663,,
"ITA","Italy","T-ACCI-KIL","Road fatalities (30 days)","2000","2000","PER","Persons","0","Units",,,7061,,
"ITA","Italy","T-ACCI-KIL","Road fatalities (30 days)","2001","2001","PER","Persons","0","Units",,,7096,,
"ITA","Italy","T-ACCI-KIL","Road fatalities (30 days)","2002","2002","PER","Persons","0","Units",,,6980,,
"ITA","Italy","T-ACCI-KIL","Road fatalities (30 days)","2003","2003","PER","Persons","0","Units",,,6563,,
"ITA","Italy","T-ACCI-KIL","Road fatalities (30 days)","2004","2004","PER","Persons","0","Units",,,6122,,
"ITA","Italy","T-ACCI-KIL","Road fatalities (30 days)","2005","2005","PER","Persons","0","Units",,,5818,,
"ITA","Italy","T-ACCI-KIL","Road fatalities (30 days)","2006","2006","PER","Persons","0","Units",,,5669,,
"ITA","Italy","T-ACCI-KIL","Road fatalities (30 days)","2007","2007","PER","Persons","0","Units",,,5131,,
"ITA","Italy","T-ACCI-KIL","Road fatalities (30 days)","2008","2008","PER","Persons","0","Units",,,4725,,
"ITA","Italy","T-ACCI-KIL","Road fatalities (30 days)","2009","2009","PER","Persons","0","Units",,,4237,,
"ITA","Italy","T-ACCI-KIL","Road fatalities (30 days)","2010","2010","PER","Persons","0","Units",,,4114,,
"ITA","Italy","T-ACCI-KIL","Road fatalities (30 days)","2011","2011","PER","Persons","0","Units",,,3860,,
"ITA","Italy","T-ACCI-KIL","Road fatalities (30 days)","2012","2012","PER","Persons","0","Units",,,3753,,
"ITA","Italy","T-ACCI-KIL","Road fatalities (30 days)","2013","2013","PER","Persons","0","Units",,,3401,,
